ind,ci,salary_ci
1,a,7658.1045207492
1,account,11756.1918165555
1,ap,8840.9201745
1,assistant,3470.672349
1,bdm,5577.3026745
1,bom,3289.8108908668
1,cad,3652.5067272723
1,call,7453.1653959012
1,center,8932.0128724506
1,ceo,12353.0445390954
1,cnc,4535.1026273255
1,coo,17178.433728111
1,cs,6703.8239306008
1,d,3606.028570611
1,department,3470.672349
1,engineer,8619.4618347584
1,epson,5447.2293179544
1,erp,4612.7489640891
1,fqc,3027.479269074
1,g,7768.9665055122
1,hp,5447.2293179544
1,id,3222.537
1,ie,5514.0207484903
1,ipqc,3404.5466911616
1,iqc,3834.5203576436
1,iqcsqe,7518.537
1,iso,5167.1198434083
1,it,6164.0879465096
1,ka,5730.8770334789
1,key,13942.4201745
1,leader,9956.7231850202
1,ma,9532.1406924984
1,manager,9957.9349673246
1,marketing,9244.2762779068
1,n,5709.6504383471
1,oa,5024.5894948979
1,ob,5160.4089366642
1,op,3741.384792222
1,operation,5919.424570611
1,pc,3706.496343636
1,pe,5086.881340111
1,pie,3778.1322710532
1,planner,6758.9559306008
1,pmc,4759.3327834639
1,ps,2994.600128424
1,qa,6184.538301698
1,qaqc,6320.524640763
1,qc,5224.9930125544
1,qe,4936.6743942246
1,quality,6512.0658473688
1,rsr,3741.384792222
1,sales,6453.6663140648
1,senior,13756.446605148
1,seo,3579.9959877279
1,service,4627.370349
1,smt,3356.362977461
1,specialist,11594.184958611
1,sqe,4646.7005541516
1,support,2738.215896111
1,team,10501.2832418232
1,vip,4482.427607148
1,一般,3347.1883507376
1,下单,4179.3194866426
1,专业,4932.6361319021
1,专利,4988.305236222
1,专卖店,6235.225680222
1,专员,3893.3419742005
1,专家,11628.1852796922
1,专职,5318.5086818055
1,业主,11195.8409395812
1,业务,4317.7025906539
1,业务主管,4915.917492801
1,业务员,3833.0633544727
1,业务经理,5702.7772255061
1,业务部,5886.7900949515
1,东北,9019.7416455972
1,东北区,14638.2799106784
1,东芝,5160.4089366642
1,丝印,4053.2598543432
1,个人,4583.4037136008
1,个体经营,6091.5282710532
1,中国,9925.2741905536
1,中心,4084.7284917577
1,中级,5508.380783
1,中资,9398.037
1,临时,2296.931367885
1,主任,6354.9672555017
1,主办,4889.9159481382
1,主管,5694.4197652619
1,买手,4159.092566
1,事业单位,2992.9831417332
1,事业部,9038.0796089648
