id,中文名称
1,办公用品及设备
2,保险
3,餐饮娱乐
4,电力/水利
5,电子技术/半导体/集成电路
8,房地产开发
10,耐用消费品(服装/纺织/皮革)
11,会展/公关/市场推广
13,航天航空
14,互联网/电子商务
15,环保
16,会计/审计
17,机械制造/设备/重工
18,IT服务/系统集成
19,计算机软件
20,计算机硬件/网络设备
21,家居/室内设计/装潢
23,检验/检测/认证
25,交通/运输/物流
26,教育/培训/院校
27,金融/基金/证券/期货/投资
28,休闲度假
29,快速消费品（食品/饮料/烟酒/日化）
30,贸易/进出口
32,农/林/牧/渔
33,零售/批发
34,汽车/摩托车
35,奢侈品/收藏品
37,石油/化工/矿产/地质
38,通信/电信/网络设备
39,通信/电信运营、增值服务
41,网络游戏
43,房地产服务(物业管理)
44,采掘业/冶炼
46,医疗/卫生服务
47,医疗设备/器械
48,仪器/仪表/工业自动化/电气
50,印刷/包装/造纸
51,媒体/出版/影视/文化传播
52,娱乐/体育/休闲
53,加工制造（原料加工/模具）
55,医药/生物工程
56,中介服务
57,专业服务(咨询/财会/翻译等)
58,其它
